ABA,SPOT,NUM_PERNAS,DTE_MIN,PL_REALISTA_TOTAL,DELTA_LIQ,GAMMA_LIQ,THETA_LIQ,VEGA_LIQ,SPREAD_MEDIO,SPREAD_PCT_MEDIO,ALERTAS_V2
EMBJ3,87.37,4,31,-30500,1776.5,166.2,-57810,38685.2,5.3125,55.9624333,Delta alto; Vega alto
BOVA11,194.27,4,31,-3590,322.5,75.6,-108220,59739.7,0.045,1.68087761,Vega alto
PRIO3,66.84,4,3,-4014,-612.31,9.34,-39257,-13363.59,0.085,4.448687402,Vega alto
SMAL11,124.66,4,3,-2442.44,-954.16,-83.06,-15642,-31771.26,0.035,17.39775066,Vega alto
SBSP3,168.67,4,31,-7074,218.39,24.34,-14343,20309.02,0.4,18.1535543,Vega alto
