"TIMESTAMP";"ABA";"PERNAS_ABERTAS";"TOTAL_EXECUTADO_ABERTO";"TOTAL_ATUAL_ABERTO";"GANHO_ATUAL_ABERTO";"PL_REALIZADO";"PL_TOTAL";"OBS"
"14/04/2026 17:55:51";"EMBJ3";"4";"-34040";"-64540";"-30500";"0";"-30500";""
"14/04/2026 17:55:51";"BOVA11";"4";"-104620";"-108210";"-3590";"0";"-3590";""
"14/04/2026 17:55:51";"PRIO3";"4";"-35375";"-39389";"-4014";"0";"-4014";""
"14/04/2026 17:55:51";"SMAL11";"4";"-14801,56";"-17244";"-2442,44";"0";"-2442,44";""
"14/04/2026 17:55:51";"SBSP3";"4";"-9364";"-16438";"-7074";"0";"-7074";""
